date,weather,dealer_orders,dtc_orders,total_orders,purchase_orders_received,purchase_units_received,purchase_orders_created,purchase_units_ordered,total_on_hand_units,total_available_units,out_of_stock_skus,sales_orders,customer_count,booked_revenue,requested_units,fulfilled_units,backordered_units,fulfilled_revenue,service_level,backorder_rate
2022-07-15,Sunny,20,15,35,1,62,1,60,5764,5764,56,35,15,526583.2,167,97,70,294892.95,0.5808383233532934,0.41916167664670656
2022-07-16,Sunny,6,17,23,1,60,0,0,5796,5796,55,23,7,238541.89,63,28,35,106718.36,0.4444444444444444,0.5555555555555556
2022-07-17,Sunny,2,15,17,1,64,0,0,5842,5842,54,17,3,131038.84,34,18,16,67891.8,0.5294117647058824,0.47058823529411764
2022-07-18,Sunny,26,11,37,1,61,3,181,5788,5788,54,37,18,739057.31,236,115,121,363864.72000000003,0.4872881355932203,0.5127118644067796
2022-07-19,Sunny,22,9,31,3,188,1,60,5890,5890,51,31,17,535769.3,170,86,84,264042.21,0.5058823529411764,0.49411764705882355
2022-07-20,Sunny,27,10,37,2,125,5,306,5880,5880,52,37,19,799951.28,253,135,118,434300.38,0.5335968379446641,0.466403162055336
2022-07-21,Sunny,20,11,31,3,189,1,61,5973,5973,49,31,15,566997.07,188,96,92,291622.48,0.5106382978723404,0.48936170212765956
2022-07-22,Sunny,22,16,38,0,0,2,124,5858,5858,51,38,16,712802.23,229,115,114,361274.67,0.5021834061135371,0.4978165938864629
2022-07-23,Sunny,8,17,25,0,0,1,64,5806,5806,52,25,9,317786.16,92,52,40,170637.23,0.5652173913043478,0.43478260869565216
2022-07-24,Sunny,2,16,18,2,123,0,0,5910,5910,51,18,3,153473.04,38,19,19,84635.02,0.5,0.5
2022-07-25,Sunny,23,11,34,2,123,2,121,5940,5940,51,34,15,665656.4,202,93,109,326623.42,0.4603960396039604,0.5396039603960396
2022-07-26,Sunny,24,10,34,1,61,0,0,5876,5876,51,34,17,762636.41,227,125,102,440440.08,0.5506607929515418,0.44933920704845814
2022-07-27,Sunny,24,11,35,0,0,1,60,5764,5764,51,35,18,664611.52,219,112,107,347870.67,0.5114155251141552,0.4885844748858447
2022-07-28,Sunny,22,13,35,1,60,2,128,5738,5738,50,35,18,647900.62,191,86,105,321314.04,0.450261780104712,0.5497382198952879
2022-07-29,Sunny,21,14,35,2,120,2,124,5739,5739,52,35,17,684937.24,205,119,86,395850.29,0.5804878048780487,0.4195121951219512
2022-07-30,Sunny,7,17,24,0,0,0,0,5699,5699,53,24,8,319905.72000000003,88,40,48,153856.58000000002,0.45454545454545453,0.5454545454545454
2022-07-31,Sunny,2,16,18,4,243,0,0,5924,5924,50,18,3,124181.18,29,18,11,77195.42,0.6206896551724138,0.3793103448275862
2022-08-01,Sunny,20,8,28,2,126,2,124,5968,5968,51,28,16,605526.8099999999,203,82,121,240280.4,0.4039408866995074,0.5960591133004927
2022-08-02,Sunny,23,11,34,2,129,1,60,5987,5987,50,34,18,589525.43,195,110,85,338204.27,0.5641025641025641,0.4358974358974359
2022-08-03,Sunny,23,10,33,6,373,1,63,6241,6241,45,33,14,591811.6,190,119,71,374629.46,0.6263157894736842,0.3736842105263158
2022-08-04,Sunny,20,10,30,1,60,0,0,6175,6175,47,30,17,659030.6,216,126,90,385538.34,0.5833333333333334,0.4166666666666667
2022-08-05,Sunny,17,13,30,1,61,2,125,6152,6152,48,30,16,552825.17,178,84,94,257392.66,0.47191011235955055,0.5280898876404494
2022-08-06,Sunny,4,13,17,0,0,1,61,6131,6131,48,17,5,149901.81,43,21,22,71358.93000000001,0.4883720930232558,0.5116279069767442
2022-08-07,Sunny,2,15,17,3,184,0,0,6292,6292,45,17,3,168471.59,41,23,18,100286.35,0.5609756097560976,0.43902439024390244
2022-08-08,Sunny,21,8,29,1,63,1,61,6228,6228,45,29,16,734075.92,223,127,96,419886.36,0.5695067264573991,0.4304932735426009
2022-08-09,Sunny,22,10,32,4,254,2,127,6356,6356,42,32,17,626565.12,188,126,62,421328.16000000003,0.6702127659574468,0.32978723404255317
2022-08-10,Sunny,19,10,29,5,315,2,123,6570,6570,38,29,14,571676.56,176,101,75,324163.7,0.5738636363636364,0.42613636363636365
2022-08-11,Sunny,18,10,28,2,121,0,0,6567,6567,38,28,15,578598.66,181,124,57,410803.7,0.6850828729281768,0.3149171270718232
2022-08-12,Sunny,17,13,30,0,0,2,130,6440,6440,39,30,16,641749.63,198,127,71,404456.25,0.6414141414141414,0.35858585858585856
2022-08-13,Sunny,6,14,20,2,123,1,61,6511,6511,39,20,7,223560.97,64,52,12,181936.67,0.8125,0.1875
2022-08-14,Sunny,2,14,16,2,122,1,60,6600,6600,37,16,3,144638.74,38,33,5,122930.6,0.868421052631579,0.13157894736842105
2022-08-15,Sunny,21,11,32,0,0,1,61,6505,6505,39,32,15,461707.65,142,95,47,302957.84,0.6690140845070423,0.33098591549295775
2022-08-16,Sunny,21,10,31,2,120,1,60,6467,6467,38,31,16,707461.28,225,158,67,485958.36,0.7022222222222222,0.29777777777777775
2022-08-17,Sunny,20,10,30,4,247,3,188,6557,6557,34,30,15,660940.04,202,157,45,504397.29,0.7772277227722773,0.22277227722772278
2022-08-18,Sunny,22,10,32,2,123,2,129,6511,6511,33,32,17,717385.99,229,169,60,522183.93,0.7379912663755459,0.26200873362445415
2022-08-19,Sunny,19,12,31,2,125,1,61,6528,6528,33,31,15,543349.2,172,108,64,322869.49,0.627906976744186,0.37209302325581395
2022-08-20,Sunny,6,16,22,2,121,1,62,6597,6597,33,22,7,263841.19,79,52,27,171484.16,0.6582278481012658,0.34177215189873417
2022-08-21,Sunny,2,14,16,1,65,0,0,6639,6639,32,16,3,123655.01999999999,34,23,11,86779.16,0.6764705882352942,0.3235294117647059
2022-08-22,Sunny,22,10,32,2,125,4,248,6579,6579,34,32,15,687306.29,230,185,45,559902.76,0.8043478260869565,0.1956521739130435
2022-08-23,Sunny,23,9,32,2,122,4,240,6577,6577,33,32,14,575916.95,180,124,56,397644.27,0.6888888888888889,0.3111111111111111
2022-08-24,Sunny,20,10,30,2,125,3,185,6558,6558,33,30,17,625924.29,184,144,40,489570.11,0.782608695652174,0.21739130434782608
2022-08-25,Sunny,19,11,30,1,60,1,61,6475,6475,34,30,15,595979.21,194,143,51,437067.48,0.7371134020618557,0.26288659793814434
2022-08-26,Sunny,16,11,27,0,0,1,60,6366,6366,37,27,16,547218.42,169,109,60,356910.16,0.6449704142011834,0.35502958579881655
2022-08-27,Sunny,6,14,20,1,60,0,0,6383,6383,37,20,7,224075.75,65,43,22,153304.16999999998,0.6615384615384615,0.3384615384615385
2022-08-28,Sunny,2,14,16,1,60,0,0,6411,6411,36,16,3,160664.41,47,32,15,117859.28,0.6808510638297872,0.3191489361702128
2022-08-29,Sunny,22,10,32,1,65,2,122,6319,6319,35,32,12,686870.67,213,157,56,527281.71,0.7370892018779343,0.26291079812206575
2022-08-30,Sunny,20,10,30,0,0,5,304,6202,6202,38,30,14,604430.42,181,117,64,395621.83,0.6464088397790055,0.35359116022099446
2022-08-31,Sunny,24,10,34,2,132,2,125,6173,6173,38,34,17,685874.67,223,161,62,484095.63,0.7219730941704036,0.27802690582959644
2022-09-01,Sunny,16,9,25,2,125,2,120,6185,6185,36,25,15,467085.41,147,113,34,361452.15,0.7687074829931972,0.23129251700680273
2022-09-02,Sunny,18,10,28,1,61,1,61,6136,6136,38,28,14,524788.16,166,110,56,349036.77,0.6626506024096386,0.3373493975903614
2022-09-03,Sunny,5,11,16,3,184,2,123,6275,6275,39,16,5,263710.58,79,45,34,157224.53,0.569620253164557,0.43037974683544306
2022-09-04,Sunny,2,11,13,1,64,0,0,6316,6316,38,13,3,114856.70000000001,29,23,6,89562.7,0.7931034482758621,0.20689655172413793
2022-09-05,Sunny,17,8,25,1,63,4,249,6273,6273,38,25,14,523555.52,161,106,55,333396.33999999997,0.6583850931677019,0.3416149068322981
2022-09-06,Sunny,21,8,29,2,124,0,0,6271,6271,37,29,17,628139.51,190,126,64,430966.25,0.6631578947368421,0.3368421052631579
2022-09-07,Sunny,23,10,33,1,60,0,0,6196,6196,40,33,19,604114.47,201,135,66,407663.18,0.6716417910447762,0.3283582089552239
2022-09-08,Sunny,19,8,27,1,60,1,61,6166,6166,39,27,15,469104.17,145,90,55,297590.68,0.6206896551724138,0.3793103448275862
2022-09-09,Sunny,15,11,26,0,0,1,63,6073,6073,39,26,15,376935.02,130,93,37,264129.06,0.7153846153846154,0.2846153846153846
2022-09-10,Sunny,5,12,17,0,0,0,0,6047,6047,39,17,6,179227.37,56,26,30,77074.19,0.4642857142857143,0.5357142857142857
2022-09-11,Sunny,2,9,11,3,181,1,60,6205,6205,37,11,3,104179.5,34,23,11,68883.46,0.6764705882352942,0.3235294117647059
2022-09-12,Sunny,18,8,26,1,60,3,185,6153,6153,37,26,16,520901.08,167,112,55,357714.46,0.6706586826347305,0.32934131736526945
2022-09-13,Sunny,22,9,31,4,246,2,121,6272,6272,35,31,17,568028.4299999999,189,127,62,393065.03,0.671957671957672,0.328042328042328
2022-09-14,Sunny,19,9,28,1,61,3,185,6221,6221,37,28,15,568639.45,176,112,64,369777.56,0.6363636363636364,0.36363636363636365
2022-09-15,Sunny,17,10,27,1,61,2,122,6166,6166,38,27,15,549631.92,161,116,45,402173.17,0.7204968944099379,0.2795031055900621
2022-09-16,Sunny,13,11,24,1,64,1,61,6173,6173,39,24,12,371084.53,118,57,61,177348.29,0.4830508474576271,0.5169491525423728
2022-09-17,Sunny,5,14,19,0,0,1,61,6134,6134,41,19,6,212422.46,62,39,23,132275.06,0.6290322580645161,0.3709677419354839
2022-09-18,Sunny,2,14,16,2,121,0,0,6238,6238,40,16,3,123885.68,28,17,11,74699.16,0.6071428571428571,0.39285714285714285
2022-09-19,Sunny,20,8,28,0,0,2,122,6132,6132,42,28,14,569602.89,188,106,82,325649.72,0.5638297872340425,0.43617021276595747
2022-09-20,Sunny,22,7,29,2,121,4,242,6160,6160,42,29,17,593484.39,191,93,98,300145.91000000003,0.4869109947643979,0.5130890052356021
2022-09-21,Sunny,20,9,29,2,128,1,66,6164,6164,44,29,16,642508.98,211,124,87,370008.3,0.5876777251184834,0.41232227488151657
2022-09-22,Sunny,17,10,27,2,124,0,0,6182,6182,43,27,14,560410.92,181,106,75,312026.3,0.585635359116022,0.4143646408839779
2022-09-23,Sunny,15,11,26,0,0,2,122,6102,6102,45,26,13,452389.04,147,80,67,240686.02,0.54421768707483,0.4557823129251701
2022-09-24,Sunny,6,14,20,0,0,1,63,6049,6049,45,20,6,243155.38,66,53,13,191139.22,0.803030303030303,0.19696969696969696
2022-09-25,Sunny,2,13,15,2,124,1,61,6153,6153,43,15,3,104090.56,28,20,8,77976.66,0.7142857142857143,0.2857142857142857
2022-09-26,Sunny,18,9,27,1,60,0,0,6144,6144,44,27,15,467689.1,146,69,77,226025.0,0.4726027397260274,0.5273972602739726
2022-09-27,Sunny,20,8,28,1,63,1,62,6089,6089,43,28,17,555402.76,179,118,61,367401.34,0.659217877094972,0.3407821229050279
2022-09-28,Sunny,20,9,29,0,0,3,182,5986,5986,44,29,14,533876.66,174,103,71,306511.01,0.5919540229885057,0.40804597701149425
2022-09-29,Sunny,17,10,27,2,125,2,125,6018,6018,43,27,13,443279.52,142,93,49,288746.82,0.6549295774647887,0.34507042253521125
2022-09-30,Sunny,17,9,26,0,0,0,0,5950,5950,44,26,15,362695.17,123,68,55,198998.23,0.5528455284552846,0.44715447154471544
2022-10-01,Sunny,4,11,15,0,0,2,122,5922,5922,44,15,5,194782.52,53,28,25,101628.06,0.5283018867924528,0.4716981132075472
2022-10-02,Sunny,2,11,13,1,61,0,0,5959,5959,44,13,3,126309.6,35,24,11,83433.08,0.6857142857142857,0.3142857142857143
2022-10-03,Sunny,15,7,22,2,127,1,62,6012,6012,43,22,12,445558.83999999997,140,74,66,237822.63999999998,0.5285714285714286,0.4714285714285714
2022-10-04,Sunny,15,8,23,2,123,0,0,6070,6070,43,23,14,380804.73,122,65,57,199617.45,0.5327868852459017,0.4672131147540984
2022-10-05,Sunny,16,6,22,0,0,2,120,6012,6012,44,22,14,408477.05,138,58,80,163094.11000000002,0.42028985507246375,0.5797101449275363
2022-10-06,Sunny,15,8,23,2,130,0,0,6085,6085,44,23,14,387797.27,121,57,64,175527.11,0.47107438016528924,0.5289256198347108
2022-10-07,Sunny,14,8,22,1,61,1,62,6046,6046,43,22,11,508634.07,151,100,51,342978.97000000003,0.6622516556291391,0.33774834437086093
2022-10-08,Sunny,4,11,15,1,60,2,121,6081,6081,42,15,5,139079.44,40,25,15,84852.35,0.625,0.375
2022-10-09,Sunny,1,8,9,1,61,1,60,6129,6129,42,9,2,54459.28,15,13,2,44661.28,0.8666666666666667,0.13333333333333333
2022-10-10,Sunny,18,7,25,1,60,1,60,6088,6088,43,25,18,530091.35,174,101,73,305246.03,0.5804597701149425,0.41954022988505746
2022-10-11,Sunny,15,8,23,3,188,1,60,6193,6193,40,23,13,458547.95,146,83,63,269535.59,0.5684931506849316,0.4315068493150685
2022-10-12,Sunny,19,7,26,2,129,3,185,6213,6213,38,26,18,496318.39,154,109,45,345596.09,0.7077922077922078,0.2922077922077922
2022-10-13,Sunny,18,7,25,1,61,3,184,6162,6162,38,25,16,504768.05,163,112,51,358596.57,0.6871165644171779,0.3128834355828221
2022-10-14,Sunny,11,9,20,1,62,0,0,6186,6186,38,20,11,324306.61,98,38,60,123787.34,0.3877551020408163,0.6122448979591837
2022-10-15,Sunny,5,11,16,1,60,1,63,6208,6208,38,16,6,217836.4,64,38,26,129106.86,0.59375,0.40625
2022-10-16,Sunny,1,9,10,4,248,0,0,6442,6442,34,10,2,86547.45999999999,22,14,8,59256.94,0.6363636363636364,0.36363636363636365
2022-10-17,Sunny,19,7,26,4,240,2,122,6544,6544,33,26,15,584075.0,191,138,53,406748.94,0.7225130890052356,0.2774869109947644
2022-10-18,Sunny,16,7,23,3,185,2,122,6632,6632,30,23,14,435970.8,133,97,36,321746.71,0.7293233082706767,0.2706766917293233
2022-10-19,Sunny,16,7,23,1,61,3,181,6581,6581,30,23,14,472007.29,157,112,45,330209.85,0.7133757961783439,0.28662420382165604
2022-10-20,Sunny,16,8,24,2,122,1,62,6564,6564,30,24,14,629385.42,195,139,56,444244.23,0.7128205128205128,0.28717948717948716
2022-10-21,Sunny,12,8,20,0,0,0,0,6493,6493,30,20,9,351999.37,117,71,46,206958.29,0.6068376068376068,0.39316239316239315
2022-10-22,Sunny,4,10,14,0,0,1,64,6451,6451,30,14,5,202617.27,59,42,17,146982.24,0.711864406779661,0.288135593220339
2022-10-23,Sunny,2,9,11,2,122,1,64,6550,6550,28,11,2,124575.66,34,23,11,85171.72,0.6764705882352942,0.3235294117647059
2022-10-24,Sunny,17,6,23,5,304,0,0,6752,6752,25,23,15,501398.43,154,102,52,324171.65,0.6623376623376623,0.33766233766233766
2022-10-25,Sunny,16,7,23,1,65,3,187,6702,6702,24,23,15,495629.93,150,115,35,380136.52999999997,0.7666666666666667,0.23333333333333334
2022-10-26,Sunny,18,8,26,2,120,0,0,6719,6719,24,26,16,502239.01,153,103,50,334582.67,0.673202614379085,0.32679738562091504
2022-10-27,Sunny,14,8,22,1,61,0,0,6667,6667,23,22,12,517936.43,153,113,40,378458.06,0.738562091503268,0.26143790849673204
2022-10-28,Sunny,14,9,23,3,184,3,184,6739,6739,23,23,13,429157.37,140,112,28,325664.1,0.8,0.2
2022-10-29,Sunny,4,11,15,0,0,1,60,6705,6705,24,15,5,155291.3,46,34,12,108492.64,0.7391304347826086,0.2608695652173913
2022-10-30,Sunny,1,9,10,4,248,0,0,6939,6939,21,10,2,69106.04000000001,17,14,3,55609.04,0.8235294117647058,0.17647058823529413
2022-10-31,Sunny,16,7,23,0,0,2,123,6800,6800,21,23,14,494384.54,163,139,24,408263.73000000004,0.852760736196319,0.147239263803681
2022-11-01,Sunny,17,8,25,0,0,3,182,6685,6685,21,25,14,390561.96,130,115,15,338451.47,0.8846153846153846,0.11538461538461539
2022-11-02,Sunny,16,7,23,1,61,1,60,6643,6643,22,23,14,416770.41000000003,128,103,25,327808.07,0.8046875,0.1953125
2022-11-03,Sunny,18,9,27,1,63,1,60,6576,6576,22,27,15,574677.39,175,130,45,429983.97,0.7428571428571429,0.2571428571428571
2022-11-04,Sunny,14,11,25,1,61,4,243,6528,6528,23,25,12,502007.13,152,109,43,362051.55,0.7171052631578947,0.28289473684210525
2022-11-05,Sunny,4,12,16,1,60,0,0,6548,6548,22,16,5,149570.74,45,40,5,132834.69,0.8888888888888888,0.1111111111111111
2022-11-06,Sunny,2,11,13,3,185,0,0,6709,6709,20,13,3,139104.47,34,24,10,99089.18,0.7058823529411765,0.29411764705882354
2022-11-07,Sunny,18,6,24,1,60,3,186,6639,6639,22,24,16,480230.27,155,130,25,411434.0,0.8387096774193549,0.16129032258064516
2022-11-08,Sunny,18,8,26,3,185,8,498,6666,6666,21,26,15,564751.6,182,158,24,495082.64,0.8681318681318682,0.13186813186813187
2022-11-09,Sunny,18,8,26,1,61,4,248,6575,6575,22,26,13,598380.76,182,152,30,493543.5,0.8351648351648352,0.16483516483516483
2022-11-10,Sunny,15,8,23,1,61,1,62,6538,6538,22,23,10,431702.72,128,98,30,319266.22,0.765625,0.234375
2022-11-11,Sunny,16,10,26,1,61,2,125,6490,6490,22,26,14,401886.3,128,109,19,337126.62,0.8515625,0.1484375
2022-11-12,Sunny,5,12,17,0,0,3,180,6450,6450,24,17,6,143043.78,45,40,5,125923.29000000001,0.8888888888888888,0.1111111111111111
2022-11-13,Sunny,2,11,13,3,186,1,62,6610,6610,23,13,3,103992.45999999999,28,26,2,96094.46,0.9285714285714286,0.07142857142857142
2022-11-14,Sunny,16,8,24,3,181,1,60,6682,6682,23,24,14,394449.7,129,109,20,332052.76,0.8449612403100775,0.15503875968992248
2022-11-15,Sunny,18,7,25,1,66,2,123,6632,6632,24,25,15,442569.18,142,116,26,355364.31,0.8169014084507042,0.18309859154929578
2022-11-16,Sunny,17,9,26,0,0,3,182,6495,6495,24,26,14,560606.72,178,137,41,429882.0,0.7696629213483146,0.2303370786516854
2022-11-17,Sunny,18,8,26,2,122,1,63,6444,6444,25,26,16,671917.5,217,173,44,531137.68,0.7972350230414746,0.20276497695852536
2022-11-18,Sunny,14,10,24,1,63,2,127,6411,6411,25,24,11,453446.69,137,96,41,324109.02,0.7007299270072993,0.29927007299270075
2022-11-19,Sunny,4,12,16,1,61,0,0,6442,6442,24,16,4,139678.65,38,30,8,117664.05,0.7894736842105263,0.21052631578947367
2022-11-20,Sunny,1,10,11,0,0,0,0,6423,6423,24,11,2,73273.62,21,19,2,68634.78,0.9047619047619048,0.09523809523809523
2022-11-21,Sunny,16,8,24,1,62,0,0,6382,6382,25,24,13,397520.53,130,103,27,315412.51,0.7923076923076923,0.2076923076923077
2022-11-22,Sunny,17,7,24,3,182,3,181,6451,6451,29,24,16,474338.95,156,113,43,355224.12,0.7243589743589743,0.27564102564102566
2022-11-23,Sunny,18,9,27,1,61,1,67,6408,6408,30,27,14,489545.83,154,104,50,319481.28,0.6753246753246753,0.3246753246753247
2022-11-24,Sunny,15,8,23,0,0,1,60,6317,6317,31,23,12,362988.37,122,91,31,274259.92,0.7459016393442623,0.2540983606557377
2022-11-25,Sunny,13,10,23,2,122,2,124,6352,6352,31,23,12,323751.44,103,87,16,273184.77999999997,0.8446601941747572,0.1553398058252427
2022-11-26,Sunny,4,12,16,0,0,0,0,6315,6315,31,16,5,203431.21000000002,56,37,19,141759.55,0.6607142857142857,0.3392857142857143
2022-11-27,Sunny,1,11,12,1,62,0,0,6361,6361,31,12,2,108814.85,24,16,8,73977.5,0.6666666666666666,0.3333333333333333
2022-11-28,Sunny,17,7,24,0,0,4,244,6261,6261,32,24,13,489758.81,157,100,57,317085.01,0.6369426751592356,0.3630573248407643
2022-11-29,Sunny,18,7,25,3,183,1,61,6355,6355,33,25,14,527815.83,160,89,71,283310.95,0.55625,0.44375
2022-11-30,Sunny,18,9,27,0,0,3,184,6260,6260,34,27,15,487308.69,160,95,65,292460.89,0.59375,0.40625
2022-12-01,Sunny,14,7,21,1,62,4,245,6230,6230,38,21,11,459810.99,147,92,55,288703.56,0.6258503401360545,0.3741496598639456
2022-12-02,Sunny,11,6,17,2,121,2,121,6282,6282,38,17,10,339413.66,112,69,43,207990.21,0.6160714285714286,0.38392857142857145
2022-12-03,Sunny,4,9,13,1,60,0,0,6314,6314,39,13,5,147395.72,44,28,16,92013.42,0.6363636363636364,0.36363636363636365
2022-12-04,Sunny,1,8,9,1,60,0,0,6356,6356,39,9,2,71498.2,21,18,3,60301.2,0.8571428571428571,0.14285714285714285
2022-12-05,Sunny,12,5,17,1,60,1,63,6362,6362,38,17,10,287920.69,94,54,40,178545.99,0.574468085106383,0.425531914893617
2022-12-06,Sunny,15,6,21,3,185,3,184,6463,6463,38,21,12,391458.22,129,84,45,251896.54,0.6511627906976745,0.3488372093023256
2022-12-07,Sunny,12,6,18,3,184,1,60,6581,6581,36,18,12,356098.29,115,66,49,210853.12,0.5739130434782609,0.4260869565217391
2022-12-08,Sunny,10,6,16,0,0,1,66,6508,6508,40,16,8,374227.8,115,73,42,245234.16,0.6347826086956522,0.3652173913043478
2022-12-09,Sunny,12,7,19,0,0,1,61,6425,6425,41,19,11,464904.12,143,83,60,277917.93,0.5804195804195804,0.4195804195804196
2022-12-10,Sunny,4,9,13,0,0,0,0,6399,6399,41,13,5,114118.31,39,26,13,68106.18,0.6666666666666666,0.3333333333333333
2022-12-11,Sunny,1,8,9,2,122,0,0,6508,6508,39,9,2,62415.15,18,13,5,42129.45,0.7222222222222222,0.2777777777777778
2022-12-12,Sunny,13,6,19,2,122,0,0,6546,6546,40,19,13,418127.26,126,84,42,284295.73,0.6666666666666666,0.3333333333333333
2022-12-13,Sunny,15,6,21,3,181,2,125,6635,6635,38,21,14,439445.8,136,92,44,300581.6,0.6764705882352942,0.3235294117647059
2022-12-14,Sunny,13,5,18,1,62,1,63,6622,6622,41,18,11,350415.02,106,75,31,248872.63,0.7075471698113207,0.29245283018867924
2022-12-15,Sunny,13,6,19,0,0,0,0,6563,6563,43,19,11,332443.27,99,59,40,204948.74,0.5959595959595959,0.40404040404040403
2022-12-16,Sunny,10,8,18,1,64,1,61,6574,6574,44,18,10,311035.5,91,53,38,201025.16,0.5824175824175825,0.4175824175824176
2022-12-17,Sunny,4,9,13,1,64,0,0,6619,6619,43,13,5,140535.01,39,19,20,74318.4,0.48717948717948717,0.5128205128205128
2022-12-18,Sunny,1,8,9,0,0,0,0,6614,6614,43,9,2,60795.45,17,5,12,16895.0,0.29411764705882354,0.7058823529411765
2022-12-19,Sunny,11,5,16,3,187,1,63,6747,6747,41,16,11,295078.9,99,54,45,153482.59,0.5454545454545454,0.45454545454545453
2022-12-20,Sunny,12,6,18,0,0,0,0,6686,6686,43,18,12,349829.07,105,61,44,210196.89,0.580952380952381,0.41904761904761906
2022-12-21,Sunny,14,5,19,0,0,2,122,6624,6624,43,19,13,397394.33999999997,125,62,63,207758.02,0.496,0.504
2022-12-22,Sunny,13,7,20,3,184,2,124,6713,6713,43,20,9,469223.34,134,95,39,346578.4,0.7089552238805971,0.291044776119403
2022-12-23,Sunny,11,7,18,1,60,0,0,6712,6712,44,18,11,348271.34,106,61,45,202765.05000000002,0.5754716981132075,0.42452830188679247
2022-12-24,Sunny,3,8,11,0,0,0,0,6705,6705,44,11,4,105736.47,32,7,25,18803.34,0.21875,0.78125
2022-12-25,Sunny,1,8,9,2,123,0,0,6823,6823,42,9,2,45338.26,11,5,6,21295.0,0.45454545454545453,0.5454545454545454
2022-12-26,Sunny,12,5,17,3,182,0,0,6936,6936,39,17,13,317092.7,95,69,26,230754.38,0.7263157894736842,0.2736842105263158
2022-12-27,Sunny,14,5,19,1,60,1,60,6928,6928,38,19,14,363767.42,115,68,47,219489.65,0.591304347826087,0.40869565217391307
2022-12-28,Sunny,13,5,18,1,60,1,60,6925,6925,38,18,12,342831.58999999997,106,63,43,207257.22,0.5943396226415094,0.4056603773584906
2022-12-29,Sunny,11,7,18,4,243,0,0,7097,7097,36,18,11,329508.0,105,71,34,222487.66,0.6761904761904762,0.3238095238095238
2022-12-30,Sunny,11,8,19,0,0,0,0,7006,7006,37,19,11,399563.54,119,91,28,305406.02,0.7647058823529411,0.23529411764705882
2022-12-31,Sunny,3,9,12,0,0,0,0,6981,6981,37,12,4,141955.06,43,25,18,83401.63,0.5813953488372093,0.4186046511627907
2023-01-01,Sunny,1,7,8,3,186,0,0,7146,7146,35,8,2,82791.9,23,21,2,76423.2,0.9130434782608695,0.08695652173913043
2023-01-02,Sunny,11,5,16,8,498,4,242,7564,7564,29,16,10,330846.33999999997,103,80,23,263548.52,0.7766990291262136,0.22330097087378642
2023-01-03,Sunny,12,5,17,4,248,1,61,7722,7722,25,17,12,405389.83999999997,119,90,29,309320.7,0.7563025210084033,0.24369747899159663
2023-01-04,Sunny,9,5,14,1,62,2,120,7726,7726,25,14,6,267387.4,85,58,27,186060.14,0.6823529411764706,0.3176470588235294
2023-01-05,Sunny,11,6,17,2,125,0,0,7758,7758,23,17,11,354473.78,109,93,16,303114.17,0.8532110091743119,0.14678899082568808
2023-01-06,Sunny,11,6,17,3,180,0,0,7848,7848,21,17,11,356886.32,108,90,18,304531.4,0.8333333333333334,0.16666666666666666
2023-01-07,Sunny,3,7,10,1,62,0,0,7885,7885,21,10,4,121987.02,35,25,10,81309.15,0.7142857142857143,0.2857142857142857
2023-01-08,Sunny,1,7,8,1,60,0,0,7933,7933,21,8,2,50332.9,13,12,1,44133.9,0.9230769230769231,0.07692307692307693
2023-01-09,Sunny,11,6,17,2,123,2,121,7986,7986,20,17,10,266736.33999999997,89,70,19,203257.01,0.7865168539325843,0.21348314606741572
2023-01-10,Sunny,12,5,17,3,182,0,0,8097,8097,18,17,9,306865.64,98,71,27,214851.48,0.7244897959183674,0.2755102040816326
2023-01-11,Sunny,12,6,18,1,63,0,0,8072,8072,17,18,12,318764.42,103,88,15,271853.72000000003,0.8543689320388349,0.14563106796116504
2023-01-12,Sunny,10,6,16,4,249,0,0,8263,8263,18,16,10,256053.5,80,58,22,173145.72,0.725,0.275
2023-01-13,Sunny,9,6,15,0,0,0,0,8215,8215,18,15,10,216214.13999999998,67,48,19,152538.03,0.7164179104477612,0.2835820895522388
2023-01-14,Sunny,4,9,13,0,0,1,60,8169,8169,18,13,5,183578.32,52,46,6,165042.22,0.8846153846153846,0.11538461538461539
2023-01-15,Sunny,1,7,8,0,0,1,60,8159,8159,18,8,2,58647.9,14,10,4,44378.76,0.7142857142857143,0.2857142857142857
2023-01-16,Sunny,10,5,15,3,181,2,123,8262,8262,18,15,9,312254.75,98,78,20,242331.81,0.7959183673469388,0.20408163265306123
2023-01-17,Sunny,14,5,19,1,67,1,60,8220,8220,17,19,10,443366.20999999996,133,109,24,360086.96,0.8195488721804511,0.18045112781954886
2023-01-18,Sunny,11,6,17,1,60,0,0,8217,8217,17,17,10,244172.77,74,63,11,210255.61000000002,0.8513513513513513,0.14864864864864866
2023-01-19,Sunny,11,6,17,2,124,0,0,8249,8249,16,17,9,320942.43,102,92,10,288672.47000000003,0.9019607843137255,0.09803921568627451
2023-01-20,Sunny,11,6,17,0,0,0,0,8161,8161,16,17,10,301293.55,92,88,4,287396.41,0.9565217391304348,0.043478260869565216
2023-01-21,Sunny,3,8,11,0,0,0,0,8132,8132,17,11,4,118672.29,33,29,4,102803.15,0.8787878787878788,0.12121212121212122
2023-01-22,Sunny,1,8,9,2,122,0,0,8237,8237,16,9,2,76618.56,20,17,3,66460.8,0.85,0.15
