date,weather,dealer_orders,dtc_orders,total_orders,purchase_orders_received,purchase_units_received,purchase_orders_created,purchase_units_ordered,total_on_hand_units,total_available_units,out_of_stock_skus
2023-02-11,Sunny,4,10,14,1,60,0,0,8905,8905,3
2023-02-12,Sunny,1,9,10,0,0,0,0,8883,8883,3
2023-02-13,Sunny,14,6,20,3,183,3,183,8942,8942,4
2023-02-14,Sunny,15,6,21,1,64,2,122,8882,8882,4
2023-02-15,Sunny,17,7,24,4,250,1,60,8991,8991,3
2023-02-16,Sunny,12,6,18,1,60,1,62,8951,8951,5
2023-02-17,Sunny,12,7,19,4,246,1,61,9095,9095,4
2023-02-18,Sunny,4,10,14,0,0,1,60,9040,9040,4
2023-02-19,Sunny,1,8,9,1,62,0,0,9087,9087,4
2023-02-20,Sunny,13,7,20,1,61,0,0,9028,9028,3
2023-02-21,Sunny,18,6,24,1,62,3,184,8919,8919,4
2023-02-22,Sunny,13,7,20,3,181,1,60,8998,8998,4
2023-02-23,Sunny,14,6,20,1,60,3,191,8922,8922,4
2023-02-24,Sunny,11,8,19,2,124,2,120,8963,8963,4
2023-02-25,Sunny,4,10,14,0,0,1,60,8922,8922,5
2023-02-26,Sunny,1,10,11,1,61,0,0,8959,8959,5
2023-02-27,Sunny,16,6,22,2,127,1,60,8961,8961,6
2023-02-28,Sunny,14,6,20,0,0,4,241,8853,8853,9
2023-03-01,Sunny,19,10,29,4,242,3,181,8960,8960,9
2023-03-02,Sunny,19,11,30,3,183,1,64,8978,8978,8
2023-03-03,Sunny,16,11,27,1,61,4,246,8895,8895,8
2023-03-04,Sunny,5,11,16,3,180,2,120,9019,9019,8
2023-03-05,Sunny,2,12,14,0,0,1,60,8985,8985,8
2023-03-06,Sunny,17,8,25,3,183,2,122,9020,9020,7
2023-03-07,Sunny,21,9,30,1,60,3,183,8885,8885,7
2023-03-08,Sunny,20,10,30,2,122,0,0,8837,8837,7
2023-03-09,Sunny,18,9,27,2,125,6,367,8801,8801,7
2023-03-10,Sunny,15,12,27,2,121,2,121,8793,8793,6
2023-03-11,Sunny,5,12,17,1,60,1,61,8799,8799,7
2023-03-12,Sunny,2,11,13,0,0,0,0,8774,8774,7
2023-03-13,Sunny,18,9,27,0,0,2,120,8623,8623,8
2023-03-14,Sunny,21,9,30,3,184,4,242,8652,8652,8
2023-03-15,Sunny,20,9,29,0,0,2,125,8474,8474,9
2023-03-16,Sunny,18,9,27,4,253,5,313,8541,8541,8
2023-03-17,Sunny,16,11,27,2,120,5,307,8519,8519,8
2023-03-18,Sunny,5,13,18,1,60,1,62,8512,8512,9
2023-03-19,Sunny,2,13,15,0,0,1,60,8478,8478,9
2023-03-20,Sunny,17,9,26,1,60,1,61,8425,8425,11
2023-03-21,Sunny,19,10,29,3,181,1,60,8436,8436,12
2023-03-22,Sunny,20,7,27,3,181,1,60,8452,8452,12
2023-03-23,Sunny,18,9,27,0,0,1,60,8314,8314,12
2023-03-24,Sunny,17,11,28,3,183,2,122,8366,8366,11
2023-03-25,Sunny,5,14,19,2,120,2,120,8428,8428,10
2023-03-26,Sunny,2,13,15,1,60,0,0,8459,8459,9
2023-03-27,Sunny,18,8,26,2,122,1,61,8430,8430,9
2023-03-28,Sunny,22,8,30,3,183,3,182,8430,8430,8
2023-03-29,Sunny,22,9,31,0,0,2,128,8262,8262,9
2023-03-30,Sunny,20,9,29,7,427,2,123,8524,8524,6
2023-03-31,Sunny,17,10,27,0,0,3,182,8374,8374,7
2023-04-01,Sunny,7,17,24,2,125,0,0,8428,8428,7
2023-04-02,Sunny,2,19,21,2,123,1,60,8523,8523,6
2023-04-03,Sunny,27,9,36,2,120,3,184,8402,8402,8
2023-04-04,Sunny,26,10,36,3,181,1,65,8397,8397,11
2023-04-05,Sunny,23,12,35,2,125,0,0,8332,8332,12
2023-04-06,Sunny,26,14,40,4,246,1,60,8389,8389,12
2023-04-07,Sunny,18,15,33,5,307,3,184,8543,8543,11
2023-04-08,Sunny,7,17,24,1,62,2,121,8526,8526,11
2023-04-09,Sunny,2,16,18,2,121,1,60,8629,8629,12
2023-04-10,Sunny,23,10,33,0,0,2,122,8456,8456,13
2023-04-11,Sunny,24,12,36,0,0,1,62,8289,8289,16
2023-04-12,Sunny,25,12,37,1,60,3,183,8178,8178,18
2023-04-13,Sunny,22,11,33,1,61,3,185,8069,8069,18
2023-04-14,Sunny,21,14,35,2,122,6,379,8034,8034,17
2023-04-15,Sunny,7,17,24,2,127,1,60,8078,8078,16
2023-04-16,Sunny,2,16,18,0,0,0,0,8047,8047,16
2023-04-17,Sunny,27,11,38,1,61,4,244,7894,7894,16
2023-04-18,Sunny,28,12,40,3,182,5,306,7858,7858,16
2023-04-19,Sunny,24,11,35,3,189,2,124,7862,7862,14
2023-04-20,Sunny,26,13,39,3,183,4,249,7822,7822,11
2023-04-21,Sunny,24,15,39,2,122,4,249,7766,7766,13
2023-04-22,Sunny,7,18,25,1,60,2,120,7751,7751,13
2023-04-23,Sunny,2,19,21,1,60,0,0,7780,7780,13
2023-04-24,Sunny,26,11,37,3,184,6,376,7749,7749,11
2023-04-25,Sunny,29,9,38,1,65,4,247,7611,7611,16
2023-04-26,Sunny,29,13,42,0,0,3,184,7399,7399,20
2023-04-27,Sunny,23,14,37,2,120,3,187,7345,7345,22
2023-04-28,Sunny,24,15,39,3,184,7,433,7349,7349,21
2023-04-29,Sunny,6,16,22,0,0,1,61,7299,7299,23
2023-04-30,Sunny,2,17,19,2,120,0,0,7387,7387,23
2023-05-01,Sunny,31,12,43,0,0,3,191,7141,7141,24
2023-05-02,Sunny,34,12,46,1,62,7,425,6952,6952,27
2023-05-03,Sunny,30,13,43,4,243,2,126,7012,7012,27
2023-05-04,Sunny,28,13,41,2,125,4,248,6918,6918,27
2023-05-05,Sunny,24,18,42,6,379,3,184,7153,7153,24
2023-05-06,Sunny,6,20,26,1,60,0,0,7159,7159,24
2023-05-07,Sunny,3,20,23,0,0,1,60,7114,7114,26
2023-05-08,Sunny,31,13,44,6,365,3,182,7270,7270,24
2023-05-09,Sunny,31,12,43,4,246,3,188,7308,7308,23
2023-05-10,Sunny,30,12,42,3,183,6,378,7281,7281,26
2023-05-11,Sunny,24,16,40,2,125,1,61,7227,7227,24
2023-05-12,Sunny,24,14,38,3,185,3,183,7209,7209,25
2023-05-13,Sunny,7,21,28,1,60,1,64,7199,7199,24
2023-05-14,Sunny,3,16,19,0,0,1,60,7161,7161,26
2023-05-15,Sunny,26,13,39,3,190,1,62,7191,7191,26
2023-05-16,Sunny,31,13,44,4,247,1,64,7211,7211,23
2023-05-17,Sunny,30,13,43,2,123,3,192,7107,7107,24
2023-05-18,Sunny,27,13,40,3,185,6,366,7093,7093,23
2023-05-19,Sunny,22,17,39,5,312,2,121,7197,7197,20
2023-05-20,Sunny,7,16,23,3,185,0,0,7318,7318,18
2023-05-21,Sunny,3,17,20,1,64,1,61,7338,7338,17
2023-05-22,Sunny,30,12,42,3,185,2,129,7291,7291,17
2023-05-23,Sunny,32,11,43,5,305,3,189,7308,7308,17
2023-05-24,Sunny,34,13,47,4,252,5,309,7298,7298,20
2023-05-25,Sunny,28,14,42,4,248,7,431,7327,7327,20
2023-05-26,Sunny,28,18,46,3,184,6,366,7302,7302,22
2023-05-27,Sunny,7,17,24,1,62,0,0,7301,7301,22
2023-05-28,Sunny,3,21,24,4,244,0,0,7505,7505,19
2023-05-29,Sunny,29,13,42,2,122,2,122,7423,7423,22
2023-05-30,Sunny,31,13,44,3,188,0,0,7367,7367,23
2023-05-31,Sunny,33,14,47,7,442,3,188,7508,7508,24
2023-06-01,Sunny,25,13,38,3,181,4,248,7519,7519,25
2023-06-02,Sunny,24,18,42,1,60,2,125,7414,7414,28
2023-06-03,Sunny,7,19,26,1,64,2,120,7414,7414,28
2023-06-04,Sunny,2,17,19,2,121,1,60,7507,7507,26
2023-06-05,Sunny,30,14,44,1,62,6,369,7375,7375,26
2023-06-06,Sunny,24,12,36,1,64,1,60,7291,7291,25
2023-06-07,Sunny,28,12,40,4,252,3,189,7370,7370,23
2023-06-08,Sunny,27,15,42,4,245,1,63,7414,7414,20
2023-06-09,Sunny,24,16,40,2,122,2,122,7355,7355,22
2023-06-10,Sunny,7,16,23,0,0,2,122,7294,7294,24
2023-06-11,Sunny,2,20,22,3,183,1,60,7444,7444,22
2023-06-12,Sunny,29,11,40,1,67,4,242,7283,7283,24
2023-06-13,Sunny,32,11,43,2,126,2,124,7166,7166,24
2023-06-14,Sunny,28,14,42,4,249,5,314,7183,7183,22
2023-06-15,Sunny,26,14,40,4,248,3,184,7224,7224,21
2023-06-16,Sunny,20,13,33,5,304,2,124,7370,7370,16
2023-06-17,Sunny,7,21,28,2,121,2,123,7400,7400,16
2023-06-18,Sunny,3,17,20,1,61,0,0,7419,7419,16
2023-06-19,Sunny,30,13,43,2,122,3,182,7302,7302,15
2023-06-20,Sunny,27,13,40,1,61,5,309,7146,7146,16
2023-06-21,Sunny,27,12,39,3,186,7,440,7074,7074,17
2023-06-22,Sunny,25,15,40,5,311,4,246,7198,7198,16
2023-06-23,Sunny,24,17,41,3,185,5,304,7181,7181,16
2023-06-24,Sunny,8,22,30,5,303,0,0,7424,7424,15
2023-06-25,Sunny,3,22,25,1,62,2,120,7437,7437,16
2023-06-26,Sunny,28,13,41,3,187,2,126,7425,7425,16
2023-06-27,Sunny,33,11,44,1,60,2,121,7205,7205,20
2023-06-28,Sunny,28,13,41,3,189,3,184,7189,7189,21
2023-06-29,Sunny,26,14,40,1,63,5,314,7076,7076,22
2023-06-30,Sunny,23,17,40,1,64,3,192,6955,6955,25
2023-07-01,Sunny,6,18,24,2,122,0,0,7019,7019,27
2023-07-02,Sunny,2,15,17,1,60,0,0,7053,7053,26
2023-07-03,Sunny,21,11,32,3,181,3,183,7087,7087,26
2023-07-04,Sunny,27,11,38,2,122,3,182,7031,7031,28
2023-07-05,Sunny,26,11,37,7,430,5,312,7273,7273,22
2023-07-06,Sunny,22,14,36,2,121,4,241,7226,7226,21
2023-07-07,Sunny,20,14,34,2,124,3,182,7209,7209,23
2023-07-08,Sunny,7,17,24,0,0,0,0,7145,7145,23
2023-07-09,Sunny,2,18,20,2,122,0,0,7241,7241,21
2023-07-10,Sunny,27,11,38,2,122,3,189,7179,7179,22
2023-07-11,Sunny,26,10,36,4,248,2,120,7250,7250,21
2023-07-12,Sunny,24,11,35,7,439,4,242,7499,7499,17
2023-07-13,Sunny,24,13,37,3,187,2,125,7497,7497,17
2023-07-14,Sunny,19,15,34,4,249,3,182,7615,7615,16
2023-07-15,Sunny,7,18,25,1,63,0,0,7608,7608,15
2023-07-16,Sunny,2,17,19,1,60,0,0,7631,7631,14
2023-07-17,Sunny,24,11,35,4,249,4,249,7694,7694,12
2023-07-18,Sunny,27,11,38,1,60,5,308,7541,7541,12
2023-07-19,Sunny,27,13,40,3,184,3,185,7534,7534,14
2023-07-20,Sunny,21,13,34,6,375,0,0,7768,7768,12
2023-07-21,Sunny,18,13,31,3,191,1,60,7786,7786,10
2023-07-22,Sunny,6,16,22,2,121,0,0,7854,7854,10
2023-07-23,Sunny,2,17,19,2,121,0,0,7946,7946,10
2023-07-24,Sunny,26,11,37,2,121,1,63,7895,7895,11
2023-07-25,Sunny,28,10,38,3,182,8,501,7853,7853,16
2023-07-26,Sunny,24,11,35,3,189,5,325,7816,7816,16
2023-07-27,Sunny,20,11,31,4,242,2,120,7878,7878,12
2023-07-28,Sunny,24,15,39,2,121,0,0,7792,7792,12
2023-07-29,Sunny,6,18,24,0,0,2,121,7729,7729,13
2023-07-30,Sunny,2,17,19,1,63,3,181,7762,7762,13
2023-07-31,Sunny,20,13,33,3,189,0,0,7772,7772,12
2023-08-01,Sunny,20,10,30,2,120,2,120,7757,7757,12
2023-08-02,Sunny,24,9,33,3,183,3,191,7749,7749,14
2023-08-03,Sunny,21,10,31,3,185,6,373,7763,7763,12
2023-08-04,Sunny,17,11,28,3,183,7,432,7783,7783,13
2023-08-05,Sunny,6,15,21,1,60,0,0,7784,7784,13
2023-08-06,Sunny,2,13,15,2,121,0,0,7881,7881,13
2023-08-07,Sunny,21,9,30,3,189,2,120,7917,7917,13
2023-08-08,Sunny,24,9,33,2,123,5,307,7846,7846,14
2023-08-09,Sunny,20,9,29,1,60,3,185,7749,7749,15
2023-08-10,Sunny,21,11,32,0,0,6,364,7590,7590,16
2023-08-11,Sunny,18,11,29,3,181,2,121,7631,7631,17
2023-08-12,Sunny,6,16,22,0,0,1,60,7583,7583,20
2023-08-13,Sunny,2,14,16,2,122,0,0,7677,7677,19
2023-08-14,Sunny,22,10,32,1,63,5,306,7596,7596,22
2023-08-15,Sunny,23,11,34,7,438,1,61,7833,7833,21
2023-08-16,Sunny,22,9,31,5,325,1,61,7962,7962,18
2023-08-17,Sunny,20,11,31,5,305,3,183,8118,8118,14
2023-08-18,Sunny,16,15,31,2,125,3,183,8120,8120,13
2023-08-19,Sunny,6,14,20,2,121,0,0,8195,8195,13
2023-08-20,Sunny,2,13,15,3,181,0,0,8353,8353,12
2023-08-21,Sunny,19,9,28,0,0,4,253,8193,8193,13
2023-08-22,Sunny,24,9,33,0,0,4,260,7996,7996,15
2023-08-23,Sunny,23,10,33,3,191,0,0,8030,8030,16
2023-08-24,Sunny,19,9,28,5,312,1,60,8171,8171,15
2023-08-25,Sunny,15,13,28,7,431,1,60,8458,8458,10
2023-08-26,Sunny,6,13,19,0,0,0,0,8410,8410,10
2023-08-27,Sunny,2,12,14,0,0,0,0,8375,8375,10
2023-08-28,Sunny,18,10,28,1,60,3,183,8265,8265,10
2023-08-29,Sunny,24,10,34,3,187,5,317,8255,8255,9
2023-08-30,Sunny,20,10,30,3,185,3,185,8265,8265,10
2023-08-31,Sunny,19,10,29,6,364,2,126,8475,8475,10
2023-09-01,Sunny,17,9,26,1,61,2,120,8369,8369,11
2023-09-02,Sunny,5,16,21,2,124,1,60,8433,8433,12
2023-09-03,Sunny,2,13,15,1,61,0,0,8467,8467,12
2023-09-04,Sunny,18,9,27,2,123,3,182,8430,8430,13
2023-09-05,Sunny,21,10,31,1,61,0,0,8309,8309,16
2023-09-06,Sunny,21,10,31,2,121,1,61,8261,8261,19
2023-09-07,Sunny,17,10,27,5,303,1,60,8450,8450,18
2023-09-08,Sunny,18,12,30,2,123,3,188,8413,8413,18
2023-09-09,Sunny,5,15,20,2,120,1,61,8484,8484,18
2023-09-10,Sunny,1,14,15,1,60,0,0,8517,8517,17
2023-09-11,Sunny,20,7,27,4,252,0,0,8637,8637,14
2023-09-12,Sunny,18,10,28,3,200,7,425,8689,8689,12
2023-09-13,Sunny,19,10,29,3,183,0,0,8718,8718,10
2023-09-14,Sunny,16,9,25,1,60,2,121,8644,8644,10
2023-09-15,Sunny,17,11,28,0,0,3,183,8502,8502,11
2023-09-16,Sunny,5,14,19,0,0,0,0,8448,8448,11
2023-09-17,Sunny,2,13,15,1,60,3,183,8466,8466,10
2023-09-18,Sunny,19,9,28,3,183,2,121,8478,8478,9
2023-09-19,Sunny,23,8,31,3,191,5,311,8494,8494,9
2023-09-20,Sunny,19,8,27,3,185,1,61,8535,8535,8
2023-09-21,Sunny,17,9,26,3,186,2,121,8574,8574,8
2023-09-22,Sunny,15,12,27,1,60,5,306,8477,8477,10
2023-09-23,Sunny,5,13,18,1,60,0,0,8478,8478,9
2023-09-24,Sunny,2,12,14,1,60,0,0,8508,8508,9
2023-09-25,Sunny,18,10,28,3,182,1,60,8529,8529,11
2023-09-26,Sunny,23,8,31,0,0,1,62,8360,8360,12
2023-09-27,Sunny,18,9,27,1,61,0,0,8282,8282,15
2023-09-28,Sunny,20,9,29,3,186,3,183,8328,8328,14
2023-09-29,Sunny,15,11,26,3,188,0,0,8411,8411,12
2023-09-30,Sunny,5,12,17,0,0,0,0,8348,8348,12
2023-10-01,Sunny,1,11,12,1,60,0,0,8391,8391,12
2023-10-02,Sunny,14,6,20,0,0,2,121,8285,8285,12
2023-10-03,Sunny,20,6,26,5,305,1,60,8450,8450,7
2023-10-04,Sunny,15,8,23,0,0,1,60,8355,8355,8
2023-10-05,Sunny,16,8,24,2,121,3,184,8338,8338,8
2023-10-06,Sunny,12,9,21,3,183,0,0,8397,8397,7
2023-10-07,Sunny,4,10,14,0,0,1,62,8356,8356,8
2023-10-08,Sunny,2,10,12,2,122,0,0,8452,8452,6
2023-10-09,Sunny,17,8,25,3,182,4,249,8497,8497,4
2023-10-10,Sunny,15,7,22,5,311,2,123,8663,8663,2
2023-10-11,Sunny,17,9,26,1,61,1,61,8582,8582,1
2023-10-12,Sunny,16,8,24,4,241,4,240,8694,8694,3
2023-10-13,Sunny,12,9,21,3,185,1,62,8773,8773,4
2023-10-14,Sunny,5,12,17,0,0,0,0,8732,8732,4
2023-10-15,Sunny,1,11,12,0,0,0,0,8717,8717,4
2023-10-16,Sunny,17,8,25,1,60,1,62,8630,8630,3
2023-10-17,Sunny,15,7,22,3,184,5,305,8640,8640,3
2023-10-18,Sunny,18,7,25,0,0,3,186,8477,8477,5
2023-10-19,Sunny,16,9,25,3,183,5,305,8520,8520,5
2023-10-20,Sunny,16,10,26,0,0,1,61,8369,8369,6
2023-10-21,Sunny,4,11,15,0,0,2,122,8316,8316,6
2023-10-22,Sunny,1,9,10,2,121,0,0,8418,8418,6
2023-10-23,Sunny,16,7,23,0,0,1,62,8268,8268,6
2023-10-24,Sunny,18,7,25,1,60,4,253,8165,8165,6
2023-10-25,Sunny,16,7,23,1,60,1,62,8088,8088,6
2023-10-26,Sunny,14,8,22,3,184,1,61,8146,8146,4
2023-10-27,Sunny,15,8,23,0,0,5,305,8040,8040,4
2023-10-28,Sunny,4,11,15,0,0,1,63,7989,7989,4
2023-10-29,Sunny,1,10,11,0,0,0,0,7964,7964,4
2023-10-30,Sunny,16,7,23,3,189,3,185,8005,8005,4
2023-10-31,Sunny,16,7,23,2,123,4,253,7983,7983,6
2023-11-01,Sunny,17,9,26,3,182,3,183,7996,7996,6
2023-11-02,Sunny,16,8,24,1,60,2,120,7921,7921,6
2023-11-03,Sunny,15,8,23,1,62,2,126,7878,7878,8
2023-11-04,Sunny,5,12,17,0,0,2,121,7832,7832,9
2023-11-05,Sunny,2,11,13,0,0,3,180,7803,7803,9
2023-11-06,Sunny,18,7,25,1,62,2,125,7714,7714,11
2023-11-07,Sunny,17,7,24,2,122,1,60,7680,7680,14
2023-11-08,Sunny,16,8,24,4,246,4,243,7783,7783,15
2023-11-09,Sunny,16,9,25,1,61,2,124,7724,7724,16
2023-11-10,Sunny,15,9,24,1,61,2,126,7665,7665,16
2023-11-11,Sunny,5,13,18,5,302,1,61,7927,7927,14
2023-11-12,Sunny,2,9,11,0,0,0,0,7909,7909,14
2023-11-13,Sunny,18,8,26,1,62,3,184,7839,7839,15
2023-11-14,Sunny,18,6,24,4,253,1,61,7925,7925,13
2023-11-15,Sunny,18,8,26,2,124,4,248,7923,7923,13
2023-11-16,Sunny,14,10,24,4,244,0,0,8029,8029,10
2023-11-17,Sunny,16,10,26,3,182,1,63,8088,8088,10
2023-11-18,Sunny,5,13,18,5,307,2,120,8340,8340,7
2023-11-19,Sunny,2,12,14,0,0,0,0,8298,8298,7
2023-11-20,Sunny,16,8,24,3,185,1,60,8314,8314,7
2023-11-21,Sunny,17,8,25,3,192,1,60,8376,8376,7
2023-11-22,Sunny,18,8,26,2,123,2,124,8332,8332,7
2023-11-23,Sunny,14,7,21,2,120,2,120,8331,8331,9
2023-11-24,Sunny,14,11,25,1,60,2,120,8275,8275,10
2023-11-25,Sunny,4,13,17,2,121,0,0,8351,8351,9
2023-11-26,Sunny,1,12,13,4,243,0,0,8577,8577,7
2023-11-27,Sunny,16,8,24,2,125,3,186,8577,8577,9
2023-11-28,Sunny,19,9,28,0,0,2,121,8396,8396,12
2023-11-29,Sunny,19,9,28,4,243,0,0,8498,8498,11
2023-11-30,Sunny,17,9,26,2,123,5,307,8488,8488,10
2023-12-01,Sunny,13,6,19,3,186,3,186,8543,8543,10
2023-12-02,Sunny,4,9,13,0,0,1,61,8501,8501,10
2023-12-03,Sunny,1,10,11,1,66,0,0,8552,8552,9
2023-12-04,Sunny,12,6,18,3,184,1,62,8625,8625,8
2023-12-05,Sunny,14,6,20,2,121,1,60,8632,8632,9
2023-12-06,Sunny,14,5,19,4,248,3,180,8772,8772,6
2023-12-07,Sunny,11,7,18,1,60,1,60,8725,8725,6
2023-12-08,Sunny,10,8,18,1,63,1,65,8709,8709,7
2023-12-09,Sunny,3,9,12,3,182,0,0,8848,8848,6
2023-12-10,Sunny,1,9,10,0,0,0,0,8834,8834,6
2023-12-11,Sunny,13,6,19,2,121,1,63,8827,8827,4
2023-12-12,Sunny,12,5,17,1,60,0,0,8770,8770,5
2023-12-13,Sunny,13,7,20,1,64,2,122,8697,8697,5
2023-12-14,Sunny,13,5,18,2,120,1,60,8714,8714,6
2023-12-15,Sunny,12,7,19,0,0,2,121,8606,8606,7
2023-12-16,Sunny,3,9,12,0,0,0,0,8559,8559,7
2023-12-17,Sunny,1,8,9,0,0,0,0,8537,8537,7
2023-12-18,Sunny,13,7,20,3,186,4,243,8637,8637,8
2023-12-19,Sunny,13,6,19,2,121,1,60,8633,8633,9
2023-12-20,Sunny,12,5,17,0,0,2,121,8561,8561,9
2023-12-21,Sunny,11,6,17,4,242,0,0,8725,8725,8
2023-12-22,Sunny,11,7,18,4,246,5,307,8845,8845,5
2023-12-23,Sunny,4,9,13,1,61,0,0,8867,8867,5
2023-12-24,Sunny,1,8,9,2,120,0,0,8967,8967,3
2023-12-25,Sunny,12,6,18,1,62,1,61,8917,8917,3
2023-12-26,Sunny,14,5,19,1,60,3,183,8846,8846,2
2023-12-27,Sunny,12,6,18,3,180,2,123,8884,8884,1
2023-12-28,Sunny,11,7,18,0,0,0,0,8787,8787,2
2023-12-29,Sunny,10,8,18,1,65,2,123,8755,8755,3
2023-12-30,Sunny,3,10,13,1,65,0,0,8778,8778,3
2023-12-31,Sunny,1,8,9,0,0,0,0,8756,8756,3
2024-01-01,Sunny,11,5,16,1,63,2,122,8700,8700,3
2024-01-02,Sunny,12,4,16,0,0,3,185,8594,8594,3
2024-01-03,Sunny,12,6,18,1,62,4,244,8539,8539,2
2024-01-04,Sunny,12,5,17,0,0,3,182,8431,8431,2
2024-01-05,Sunny,9,7,16,2,121,1,60,8473,8473,2
2024-01-06,Sunny,4,8,12,1,60,1,60,8483,8483,5
2024-01-07,Sunny,1,7,8,0,0,1,60,8467,8467,5
2024-01-08,Sunny,12,6,18,3,183,1,61,8530,8530,7
2024-01-09,Sunny,12,5,17,0,0,1,63,8431,8431,8
2024-01-10,Sunny,12,5,17,2,121,1,64,8472,8472,6
2024-01-11,Sunny,12,6,18,0,0,1,60,8377,8377,6
2024-01-12,Sunny,9,7,16,3,184,1,63,8495,8495,6
2024-01-13,Sunny,3,9,12,1,60,1,61,8516,8516,5
2024-01-14,Sunny,1,9,10,0,0,0,0,8494,8494,6
2024-01-15,Sunny,13,6,19,1,61,1,62,8446,8446,7
2024-01-16,Sunny,12,5,17,3,183,1,61,8493,8493,7
2024-01-17,Sunny,12,5,17,3,183,6,367,8541,8541,6
2024-01-18,Sunny,11,5,16,1,60,1,60,8498,8498,5
2024-01-19,Sunny,10,6,16,1,60,1,60,8475,8475,5
2024-01-20,Sunny,3,7,10,0,0,0,0,8431,8431,5
2024-01-21,Sunny,1,7,8,3,183,1,60,8597,8597,4
2024-01-22,Sunny,12,5,17,2,122,1,62,8608,8608,3
2024-01-23,Sunny,14,5,19,2,123,3,182,8603,8603,4
2024-01-24,Sunny,11,5,16,2,121,1,60,8610,8610,4
2024-01-25,Sunny,11,6,17,2,121,0,0,8621,8621,3
2024-01-26,Sunny,10,7,17,1,60,4,246,8565,8565,3
2024-01-27,Sunny,3,9,12,1,60,0,0,8589,8589,2
2024-01-28,Sunny,1,6,7,2,123,0,0,8697,8697,2
2024-01-29,Sunny,13,6,19,1,61,0,0,8638,8638,4
2024-01-30,Sunny,14,6,20,0,0,2,123,8507,8507,4
2024-01-31,Sunny,13,4,17,1,64,4,249,8446,8446,5
2024-02-01,Sunny,13,7,20,2,122,4,243,8467,8467,4
2024-02-02,Sunny,13,7,20,3,186,1,60,8547,8547,3
2024-02-03,Sunny,4,9,13,2,122,1,61,8609,8609,3
2024-02-04,Sunny,1,9,10,0,0,1,63,8590,8590,3
2024-02-05,Sunny,13,6,19,0,0,2,122,8448,8448,5
2024-02-06,Sunny,16,6,22,1,61,2,127,8375,8375,4
2024-02-07,Sunny,15,7,22,3,183,2,120,8436,8436,5
2024-02-08,Sunny,13,7,20,2,123,0,0,8444,8444,7
2024-02-09,Sunny,10,8,18,1,60,4,243,8399,8399,7
2024-02-10,Sunny,4,8,12,0,0,0,0,8355,8355,7
2024-02-11,Sunny,1,8,9,1,60,0,0,8408,8408,6
2024-02-12,Sunny,13,5,18,1,62,1,62,8354,8354,6
2024-02-13,Sunny,14,6,20,3,182,1,63,8397,8397,7
2024-02-14,Sunny,12,7,19,2,122,3,182,8408,8408,7
2024-02-15,Sunny,12,7,19,0,0,2,122,8289,8289,7
2024-02-16,Sunny,11,9,20,7,430,0,0,8600,8600,4
2024-02-17,Sunny,4,9,13,0,0,0,0,8548,8548,4
2024-02-18,Sunny,1,9,10,0,0,0,0,8532,8532,4
2024-02-19,Sunny,16,5,21,0,0,3,188,8393,8393,5
2024-02-20,Sunny,15,5,20,2,123,1,62,8415,8415,4
2024-02-21,Sunny,14,7,21,3,189,4,247,8502,8502,5
2024-02-22,Sunny,12,6,18,4,243,1,60,8633,8633,3
2024-02-23,Sunny,12,9,21,1,60,1,61,8608,8608,4
2024-02-24,Sunny,4,8,12,0,0,0,0,8560,8560,4
2024-02-25,Sunny,1,7,8,1,63,0,0,8599,8599,3
2024-02-26,Sunny,12,5,17,2,122,3,186,8627,8627,2
2024-02-27,Sunny,14,6,20,0,0,3,186,8517,8517,4
2024-02-28,Sunny,16,6,22,1,60,0,0,8433,8433,5
2024-02-29,Sunny,12,7,19,0,0,1,60,8306,8306,6
2024-03-01,Sunny,16,10,26,4,243,1,62,8403,8403,5
2024-03-02,Sunny,6,14,20,0,0,1,60,8346,8346,5
2024-03-03,Sunny,2,12,14,0,0,1,60,8313,8313,5
2024-03-04,Sunny,21,9,30,2,123,6,363,8227,8227,4
2024-03-05,Sunny,23,10,33,1,63,3,183,8081,8081,5
2024-03-06,Sunny,21,9,30,2,122,1,60,8034,8034,5
2024-03-07,Sunny,18,9,27,3,189,3,187,8076,8076,8
2024-03-08,Sunny,17,12,29,1,60,2,120,8009,8009,9
2024-03-09,Sunny,5,14,19,0,0,2,121,7951,7951,10
2024-03-10,Sunny,2,13,15,1,60,0,0,7968,7968,11
2024-03-11,Sunny,19,9,28,3,188,6,369,7996,7996,9
2024-03-12,Sunny,19,9,28,1,62,1,61,7907,7907,8
2024-03-13,Sunny,17,9,26,2,122,1,60,7891,7891,8
2024-03-14,Sunny,16,10,26,1,60,2,121,7803,7803,10
2024-03-15,Sunny,16,10,26,2,121,1,64,7792,7792,8
2024-03-16,Sunny,5,14,19,1,60,3,183,7804,7804,9
2024-03-17,Sunny,2,15,17,0,0,2,121,7776,7776,10
2024-03-18,Sunny,20,9,29,3,186,2,121,7796,7796,7
2024-03-19,Sunny,21,9,30,2,126,2,123,7709,7709,8
2024-03-20,Sunny,22,9,31,0,0,7,426,7542,7542,11
2024-03-21,Sunny,18,10,28,0,0,4,249,7392,7392,12
2024-03-22,Sunny,18,10,28,3,187,2,121,7423,7423,13
2024-03-23,Sunny,4,14,18,0,0,2,122,7374,7374,13
2024-03-24,Sunny,2,12,14,0,0,0,0,7357,7357,14
2024-03-25,Sunny,18,9,27,4,241,3,181,7458,7458,11
